layer,head,entropy,sparsity,distance
0,0,0.48248804228378833,0.967071533203125,2.94924259185791
0,1,0.7498555715681277,0.875,166.02589416503906
0,2,0.5698862904332265,0.9517822265625,105.05049896240234
0,3,0.5040380781859353,0.967071533203125,3.6578149795532227
0,4,0.4569431367676411,0.970916748046875,2.535686731338501
0,5,0.7739042039206843,0.8571395874023438,165.532470703125
0,6,0.5570193780096484,0.9555397033691406,109.0777587890625
0,7,0.5248514409309428,0.9632339477539062,4.152674198150635
1,0,0.456885956063217,0.970916748046875,2.5345876216888428
1,1,0.773893587015126,0.8571395874023438,165.38430786132812
1,2,0.5462097795791852,0.9575386047363281,98.1379834495773
1,3,0.5018747591421779,0.967071533203125,3.549588203430176
1,4,0.48327571249570384,0.967071533203125,2.967620611190796
1,5,0.7096647858299253,0.899993896484375,166.78152465820312
1,6,0.5468424644509864,0.9575386047363281,98.76589965820312
1,7,0.5012938302993707,0.967071533203125,3.5234732627868652
2,0,0.4837098487715419,0.967071533203125,2.9778800010681152
2,1,0.7739316601783163,0.8571395874023438,165.93759155273438
2,2,0.5314020903870058,0.9613189697265625,112.76838684082031
2,3,0.5584454329578317,0.9555816650390625,4.993030071258545
2,4,0.4219472462590512,0.9747695922851562,2.0470046997070312
2,5,0.7498643534322373,0.875,166.1663818359375
2,6,0.5340669738226069,0.9612388610839844,121.17381286621094
2,7,0.5586416624752373,0.9555816650390625,5.008649826049805
3,0,0.42213079999167863,0.9747695922851562,2.0496469765691145
3,1,0.6925142698623915,0.9090805053710938,167.45196533203125
3,2,0.5024354862377257,0.9670982360839844,111.22069549560547
3,3,0.5730197817492962,0.9517669677734375,5.405764102935791
3,4,0.4179858852979931,0.9747695922851562,1.9915914530510577
3,5,0.7286715489252096,0.888885498046875,166.9661865234375
3,6,0.5119806908925395,0.9651718139648438,115.59130859375
3,7,0.5576317403768405,0.9555816650390625,4.931678771972656
4,0,0.4231046043897795,0.9747695922851562,2.063778877258301
4,1,0.6768384540686567,0.916656494140625,167.7952880859375
4,2,0.4940870414176154,0.9689712524414062,127.89703369140625
4,3,0.5568294728855053,0.9555816650390625,4.8757147789001465
4,4,0.37875242503039697,0.9786300659179688,1.5747339725494385
4,5,0.6768342216831083,0.916656494140625,167.6879119873047
4,6,0.4908636440714096,0.969024658203125,114.5434341430664
4,7,0.5560515364885443,0.9555816650390625,4.824923038482666
5,0,0.4195411948655287,0.9747695922851562,2.0129945278167725
5,1,0.6925253324280709,0.9090805053710938,167.7174530029297
5,2,0.46925127394760197,0.9728431701660156,121.32229614257812
5,3,0.6339566809851751,0.9328079223632812,7.725934982299805
5,4,0.4200391791126683,0.9747695922851562,2.019941806793213
5,5,0.6925156247296225,0.9090805053710938,167.48336791992188
5,6,0.4773055581469054,0.9709510803222656,111.83789825439453
5,7,0.5995911473263953,0.9441604614257812,6.291070938110352
6,0,0.3235150652322438,0.9824981689453125,1.1242361068725586
6,1,0.6925242304122861,0.9090805053710938,167.68991088867188
6,2,0.4625571943197556,0.9728775024414062,107.4438247680664
6,3,0.5852874462385937,0.9479598999023438,5.719854354858398
6,4,0.37784047451178726,0.9786300659179688,1.5653172731399536
6,5,0.6490599783747901,0.928558349609375,168.1981658935547
6,6,0.4556685270713737,0.9747772216796875,123.59957122802734
6,7,0.5853052015998252,0.9479598999023438,5.721255779266357
7,0,0.32149467141316085,0.9824981689453125,1.1098302602767944
7,1,0.649064729731424,0.928558349609375,168.3482208251953
7,2,0.43935886955378767,0.9767112731933594,116.51537322998047
7,3,0.6222790127208675,0.93658447265625,7.133972644805908
7,4,0.37444593511351504,0.9786300659179688,1.5310463905334473
7,5,0.6366175187976377,0.9333267211914062,168.39395141601562
7,6,0.4653482628034996,0.9728431701660156,129.0776824951172
7,7,0.6528849923635937,0.9252777099609375,8.578805923461914
8,0,0.2596981556938115,0.9863739013671875,0.7491199374198914
8,1,0.6925254008684325,0.9090805053710938,167.7191619873047
8,2,0.4488980418835321,0.9747772216796875,124.88394165039062
8,3,0.6524932856689042,0.9252777099609375,8.52161693572998
8,4,0.320755872448006,0.9824981689453125,1.104618787765503
8,5,0.6249747148932624,0.9375,168.5243682861328
8,6,0.4364266383316371,0.9767112731933594,119.3323974609375
8,7,0.6525437870139205,0.9252777099609375,8.528823852539062
